text@dez1977f	@dez1977f	101.137	104.912	вот знаете / я объясню // а вот условно говоря // а о //
text@dez1977f	@dez1977f	105.721	113.309	вот условно говоря / выпустили Голунова / выпустили Устинова / да? // это же тоже можно воспринимать / как некий // знак внимания / правильно? //
text@dez1977f	@dez1977f	113.893	114.648	можно? //
text@dez1977f	@dez1977f	115.844	127.515	так и есть? // ноо / это мало кто воспринимает / как знак внимания / это воспринимают как знак / ага! на испугались / значит давайте пойдем / еще возьмем больше / черной краски / ии начнем уже тухлые яйца бросать //
text@dez1977f	@dez1977f	127.709	130.127	получается / патовая ситуация //
text@dez1977f	@dez1977f	131.082	131.755	мгм //
text@dez1977f	@dez1977f	132.296	132.908	да! //
text@dez1977f	@dez1977f	133.873	134.782	как же тогда? //
text@dez1977f	@dez1977f	141.842	142.464	да //
text@dez1977f	@dez1977f	149.688	150.178	мгм //
text@dez1977f	@dez1977f	155.085	156.503	#смеется# //
text@dez1977f	@dez1977f	172.163	172.755	даа //
text@dez1977f	@dez1977f	174.775	175.326	мгм //
text@dez1977f	@dez1977f	179.376	180.08	мгмм //
text@dez1977f	@dez1977f	184.851	186.882	да вездее // об этом говорят //
text@dez1977f	@dez1977f	187.173	189.428	то есть это то что // волнует всех! //
text@dez1977f	@dez1977f	200.886	201.692	да //
text@dez1977f	@dez1977f	202.268	206.237	то есть это не даа / не путь // а что тогда / вот // этоо / вопрос //
text@dez1977f	@dez1977f	209.167	219.613	у вас был отличный фильм / Тряпичный союз // это восстание не против какой-то / внешней даже так скажем силы / хотя у каждого из героев / своя причина // восставать // да? //
text@dez1977f	@dez1977f	219.931	226.535	но ровно потому что у каждого из них / своя причина / одного обидели тамм // посадили / родителей //
text@dez1977f	@dez1977f	235.439	236.031	да! //
text@dez1977f	@dez1977f	236.337	236.94	да //
text@dez1977f	@dez1977f	237.17	241.792	третий мажор / как бы явно / протестует против жизни своих / ээ //
text@dez1977f	@dez1977f	243.338	245.45	нет это не ваш ма... / персонаж мажор / кстати //
text@dez1977f	@dez1977f	245.895	252.794	нет! / Чинарева как раз / он же / в хорошей квартире // где он распродает дорогую мебель / иии // всё это раскрашивает //
text@dez1977f	@dez1977f	253.129	256.659	ваш то как раз нет / ваш представитель творческой интеллигенции да //
text@dez1977f	@dez1977f	262.241	262.812	да //
text@dez1977f	@dez1977f	265.944	266.699	мгм //
text@dez1977f	@dez1977f	273.484	274.198	мгм //
text@dez1977f	@dez1977f	277.004	277.636	ага //
text@dez1977f	@dez1977f	283.465	284.791	а вот как смешно //
text@dez1977f	@dez1977f	285.139	291.771	учитывая что ваш персонаж как раз / из этой четверки / он такой / представитель артистическойй // природы / да? / то есть он как раз / да? //
text@dez1977f	@dez1977f	291.942	306.85	#смеется# / а вам не кажется / что это некий такой / как это сказать / диагноз / интеллигенции которая / она как бы вв... // включается / когда что-то актуально / а как-то как только начинается уже один один / она так переключается / потому что чё-то это уже не так популярно / и вроде как / #смеется# //
text@dez1977f	@dez1977f	313.713	315.805	учитывая что мы на канале Культура //
text@dez1977f	@dez1977f	339.403	339.914	мгм //
text@dez1977f	@dez1977f	347.852	348.596	мгм //
text@dez1977f	@dez1977f	353.31	354.851	непостоянности //
text@dez1977f	@dez1977f	365.002	365.747	мгм //
text@dez1977f	@dez1977f	367.712	371.498	самый слабый! / оказалось что иии // есть самый цельный //
text@dez1977f	@dez1977f	371.545	377.208	а вот эта идея толкая одно / чтобыы // падало другое / да // она вам близка? //
text@dez1977f	@dez1977f	385.058	387.283	как вы это расшифровываете? //
text@dez1977f	@dez1977f	389.333	404.842	ну я бы это знаете как / что // если ты / страстно / относишься к чему-то // то совсем необязательно в этом направлении // но / в каком-то другом ты сможешь что-то изменить / а если ты как бы / сидишь и тебе / всё / параллельно / то уж точно шансов нет / да //
text@dez1977f	@dez1977f	406.392	407.729	вот так / может быть //
text@dez1977f	@dez1977f	407.908	411.296	то есть вот это / сверхусилие // да? / которое ты прилагаешь //
text@dez1977f	@dez1977f	427.338	440.792	я даже в творческой судьбе знаете / обращаю внимание / что человек / который во что-то верит и делает что-то / очень так / бескомпромиссно / даже если там / не получилось // иногда бывает раз / ему в другом месте просто / отсыпали успеха там / где может он и не старался даже //
text@dez1977f	@dez1977f	460.315	461.04	мгмм //
text@dez1977f	@dez1977f	471.488	472.968	#смеется# //
text@dez1977f	@dez1977f	473.739	474.749	#смеется # //
text@dez1977f	@dez1977f	482.146	483.33	даа да //
text@dez1977f	@dez1977f	494.522	496.144	и в то же время / если где //
text@dez1977f	@dez1977f	496.997	503.012	даа // но в то же время ты должен все равно / какую-то энергию высекать / просто так когда ты сидишь / то тоже не дается //
text@dez1977f	@dez1977f	505.412	506.88	то есть вот / из какой-то правды //
words@ify1990m	@ify1990m	0.81	1.065	значит
words@ify1990m	@ify1990m	1.065	1.32	Твиттер
words@ify1990m	@ify1990m	1.32	1.575	да
words@ify1990m	@ify1990m	1.575	1.83	?
words@ify1990m	@ify1990m	1.83	2.085	/
words@ify1990m	@ify1990m	2.085	2.34	условно
words@ify1990m	@ify1990m	2.34	2.595	говоря
words@ify1990m	@ify1990m	2.595	2.85	/
words@ify1990m	@ify1990m	2.85	3.105	либо
words@ify1990m	@ify1990m	3.105	3.36	какой-нибудь
words@ify1990m	@ify1990m	3.36	3.615	там
words@ify1990m	@ify1990m	3.615	3.87	/
words@ify1990m	@ify1990m	3.87	4.125	/
words@ify1990m	@ify1990m	4.125	4.38	телеканал
words@ify1990m	@ify1990m	4.38	4.635	/
words@ify1990m	@ify1990m	4.635	4.89	/
words@ify1990m	@ify1990m	5.77	6.037	выходит
words@ify1990m	@ify1990m	6.037	6.304	человек
words@ify1990m	@ify1990m	6.304	6.571	говорит
words@ify1990m	@ify1990m	6.571	6.838	/
words@ify1990m	@ify1990m	6.838	7.105	драсте
words@ify1990m	@ify1990m	7.105	7.372	!
words@ify1990m	@ify1990m	7.372	7.639	/
words@ify1990m	@ify1990m	7.639	7.906	/
words@ify1990m	@ify1990m	7.906	8.173	добрый
words@ify1990m	@ify1990m	8.173	8.44	день
words@ify1990m	@ify1990m	8.44	8.707	/
words@ify1990m	@ify1990m	8.707	8.974	яаа
words@ify1990m	@ify1990m	8.974	9.241	такой-то
words@ify1990m	@ify1990m	9.241	9.508	такой-то
words@ify1990m	@ify1990m	9.508	9.775	/
words@ify1990m	@ify1990m	9.775	10.042	ваш
words@ify1990m	@ify1990m	10.042	10.32	мэр
words@ify1990m	@ify1990m	10.865	11.108	или
words@ify1990m	@ify1990m	11.108	11.351	президент
words@ify1990m	@ify1990m	11.351	11.594	ваш
words@ify1990m	@ify1990m	11.594	11.837	/
words@ify1990m	@ify1990m	11.837	12.08	я
words@ify1990m	@ify1990m	12.08	12.323	не
words@ify1990m	@ify1990m	12.323	12.566	знаю
words@ify1990m	@ify1990m	12.566	12.809	/
words@ify1990m	@ify1990m	12.809	13.052	завтра
words@ify1990m	@ify1990m	13.052	13.295	в
words@ify1990m	@ify1990m	13.295	13.538	нашем
words@ify1990m	@ify1990m	13.538	13.781	городе
words@ify1990m	@ify1990m	13.781	14.024	начинается
words@ify1990m	@ify1990m	14.024	14.267	/
words@ify1990m	@ify1990m	14.267	14.51	обустройство
words@ify1990m	@ify1990m	14.51	14.753	/
words@ify1990m	@ify1990m	14.753	15.005	/
words@ify1990m	@ify1990m	15.475	15.728	завтра
words@ify1990m	@ify1990m	15.728	15.981	мыы
words@ify1990m	@ify1990m	15.981	16.234	/
words@ify1990m	@ify1990m	16.234	16.487	значит
words@ify1990m	@ify1990m	16.487	16.74	/
words@ify1990m	@ify1990m	16.74	16.993	с
words@ify1990m	@ify1990m	16.993	17.246	семи
words@ify1990m	@ify1990m	17.246	17.499	утраа
words@ify1990m	@ify1990m	17.499	17.752	/
words@ify1990m	@ify1990m	17.752	18.005	/
words@ify1990m	@ify1990m	18.005	18.258	снимаем
words@ify1990m	@ify1990m	18.258	18.511	гранит
words@ify1990m	@ify1990m	18.511	18.764	тут
words@ify1990m	@ify1990m	18.764	19.017	/
words@ify1990m	@ify1990m	19.017	19.27	или
words@ify1990m	@ify1990m	19.27	19.523	ставим
words@ify1990m	@ify1990m	19.523	19.776	гранит
words@ify1990m	@ify1990m	19.776	20.029	/
words@ify1990m	@ify1990m	20.029	20.282	там
words@ify1990m	@ify1990m	20.282	20.535	значит
words@ify1990m	@ify1990m	20.535	20.788	/
words@ify1990m	@ify1990m	20.788	21.041	снимаем
words@ify1990m	@ify1990m	21.041	21.294	/
words@ify1990m	@ify1990m	21.294	21.547	и
words@ify1990m	@ify1990m	21.547	21.8	ставим
